County,Year,% High School,% Bachelor's or Higher,% Unemployment Rate,% Income < 50000,Square Land Miles,% Hispanic,% Black,% Native American,% Asian,% Hawaiian,% Other Races,% More Than One Races,% Male,% Female,% Diversity Index 2020,Eligible Voters,Total Population,Total_Votes,Prev Democratic Vote Share
Washington,2016,0.924,0.294,0.038,0.435,857.0,0.015,0.028999999999999998,0.001,0.009000000000000001,0.0,0.003,0.02,0.49,0.51,0.1997,165073.0,"208,269",101450.0,0.42579999999999996
Washington,2020,0.7240000000000001,0.426,0.033,0.384,857.0,0.018000000000000002,0.033,0.0,0.01,0.0,0.004,0.023,0.491,0.509,0.1997,164857.0,"207,081",118478.0,0.358
Wayne,2016,0.852,0.292,0.039,0.49200000000000005,725.8,0.040999999999999995,0.036000000000000004,0.002,0.006,0.0,0.005,0.012,0.531,0.469,0.228,41832.0,"51,307",24018.0,0.3886
Wayne,2020,0.852,0.292,0.026000000000000002,0.446,725.8,0.046,0.034,0.002,0.006999999999999999,0.0,0.003,0.022000000000000002,0.531,0.469,0.228,42192.0,"51,268",28089.0,0.2918
Westmoreland,2016,0.941,0.281,0.032,0.45799999999999996,"1,027.7",0.011000000000000001,0.024,0.001,0.009000000000000001,0.0,0.002,0.013999999999999999,0.488,0.512,0.1678,289881.0,"359,377",182051.0,0.37579999999999997
Westmoreland,2020,0.6970000000000001,0.431,0.027999999999999997,0.409,"1,027.7",0.012,0.024,0.001,0.01,0.0,0.002,0.02,0.489,0.511,0.1678,284485.0,"350,722",204697.0,0.32780000000000004
Wyoming,2016,0.8640000000000001,0.301,0.043,0.47,397.4,0.018000000000000002,0.009000000000000001,0.001,0.004,0.0,0.002,0.01,0.502,0.498,0.1405,22163.0,"27,975",13144.0,0.4263
Wyoming,2020,0.8640000000000001,0.301,0.028999999999999998,0.42100000000000004,397.4,0.02,0.018000000000000002,0.002,0.004,0.0,0.003,0.042,0.502,0.498,0.1405,21621.0,"27,078",14858.0,0.2899
York,2016,0.897,0.242,0.040999999999999995,0.413,904.4,0.066,0.057999999999999996,0.001,0.013999999999999999,0.0,0.013999999999999999,0.023,0.494,0.506,0.3471,334780.0,"440,604",205986.0,0.3868
York,2020,0.8079999999999999,0.34299999999999997,0.03,0.34600000000000003,904.4,0.078,0.057999999999999996,0.001,0.015,0.001,0.017,0.037000000000000005,0.494,0.506,0.3471,341222.0,"447,628",238471.0,0.33270000000000005
